target_present,Movement_leftEar,Movement_leftShoulder,Movement_neck,Movement_nose,Movement_rightEar,Movement_rightShoulder,Movement_spineLower,Movement_spineMid,Movement_spineUpper,Movement_tailBase,All_bp_movements_Animal_1_sum,All_bp_movements_Animal_1_mean,All_bp_movements_Animal_1_min,All_bp_movements_Animal_1_max,Mean_All_bp_movements_Animal_1_mean_2,Sum_All_bp_movements_Animal_1_mean_2,Mean_All_bp_movements_Animal_1_mean_5,Sum_All_bp_movements_Animal_1_mean_5,Mean_All_bp_movements_Animal_1_mean_6,Sum_All_bp_movements_Animal_1_mean_6,Mean_All_bp_movements_Animal_1_mean_7.5,Sum_All_bp_movements_Animal_1_mean_7.5,Mean_All_bp_movements_Animal_1_mean_15,Sum_All_bp_movements_Animal_1_mean_15,Sum_probabilities,Mean_probabilities,Low_prob_detections_0.1,Low_prob_detections_0.5,Low_prob_detections_0.75
1,0.026116936,0.019108273,0.02443237,0.0300760679999999,0.07722663,0.017569209,0.032368362,0.013860701,0.0013598045999999,0.0044496446,0.24656801,0.024656802,0.0013598045999999,0.07722663,0.018919943831861,0.037839887663722,0.0229470945894718,0.114735472947359,0.0214500641450285,0.1287003848701715,0.0203907191753387,0.1427350342273712,0.0351093442489703,0.5266401637345552,8.518555000000001,0.85185546,0,0,2
1,1.4638743,0.09211429,0.16063604,0.0236837829999999,0.031852175,0.04581457,0.0594144,0.07020377,0.06743227,0.30875847,2.323784,0.23237841,0.0236837829999999,1.4638743,0.1663199476897716,0.3326398953795433,0.1056616336107254,0.528308168053627,0.1078105730315049,0.6468634381890297,0.116189634161336,0.8133274391293526,0.1388943826158841,2.0834157392382617,8.696289,0.8696289,0,0,2
1,0.053095497,0.008906015,0.01948594,0.033061333,0.03207469,0.02956188,0.028012726,0.0235807429999999,0.0015475082999999,0.002750025,0.23207636,0.023207635,0.0015475082999999,0.053095497,0.023037664592266,0.0460753291845321,0.0209790293127298,0.1048951465636491,0.0226763930792609,0.1360583584755659,0.0315523836761713,0.2208666857331991,0.0419155543049176,0.6287333145737648,8.634766,0.8634765999999999,0,0,2
1,0.0051101586,0.0005210876,0.000773112,0.0006897663,0.002151641,0.0015897285,0.0029015666999999,0.003523002,0.0028605605,0.0015597438,0.021680368,0.0021680365,0.0005210876,0.0051101586,0.0046013863757252,0.0092027727514505,0.0043403950519859,0.0217019752599298,0.0040451632424568,0.0242709794547408,0.0037792655306735,0.0264548587147146,0.0032482517727961,0.0487237765919417,9.415527,0.94155276,0,0,0
1,0.004863678,0.004413779,0.004316014,0.0035481771999999,0.0017758795,0.003473515,0.00048392153,0.0043283254,0.00050640793,0.008318204,0.0360279,0.0036027902,0.00048392153,0.008318204,0.0030858971877023,0.0061717943754047,0.003359005972743,0.0167950298637151,0.0031111488157572,0.0186668928945437,0.0030159406929409,0.0211115848505869,0.0037260069589441,0.0558901043841615,9.337402,0.93374026,0,0,0
1,0.417045,0.11240515,0.13951966,0.16194129,0.096112296,0.11311739,0.0952229,0.15109254,0.08888412,0.0142645369999999,1.389605,0.13896051,0.0142645369999999,0.417045,0.0890661738812923,0.1781323477625847,0.0710776422172784,0.3553882110863924,0.0664269051825006,0.3985614310950041,0.0623874773404428,0.4367123413830996,0.0718022213627894,1.077033320441842,9.084961,0.9084961,0,0,0
1,0.25715974,0.17128873,0.18200792,0.15366025,0.0905653459999999,0.10843876,0.1416953,0.017558372,0.05706877,0.2409825,1.4204258,0.14204256,0.017558372,0.25715974,0.1583818197250366,0.3167636394500732,0.152551719546318,0.7627585977315903,0.158205730219682,0.9492343813180923,0.1431581798408712,1.0021072588860989,0.1218215035895506,1.82732255384326,9.141113,0.9141113,0,0,1
1,0.31233567,0.26791918,0.24904455,0.23348932,0.21281381,0.23617075,0.14625558,0.0860205,0.1279138,0.0016276041,1.8735907,0.18735908,0.0016276041,0.31233567,0.1870480105280876,0.3740960210561752,0.166974264383316,0.8348713219165802,0.1538572758436203,0.9231436550617218,0.1893907189369201,1.3257350325584412,0.1534512370824813,2.3017685562372208,8.295898,0.82958984,0,1,2
1,0.040500917,0.4808223,0.04278746,0.06909411,0.06271395,0.063187204,0.035066675,0.0307625999999999,0.0059832995999999,0.017164797,0.84808326,0.08480833,0.0059832995999999,0.4808223,0.0865824297070503,0.1731648594141006,0.0478864423930645,0.2394322119653225,0.0543252720187107,0.3259516321122646,0.0503917025136096,0.3527419175952673,0.0425092748676737,0.6376391230151057,8.670898,0.86708987,0,0,2
1,0.03620818,0.058412697,0.0186572,0.027241737,0.034696992,0.10318702,0.040488683,0.07578327,0.07702111,0.016637778,0.4883346999999999,0.048833467,0.016637778,0.10318702,0.0691729001700878,0.1383458003401756,0.1159155592322349,0.5795777961611748,0.1088237054646015,0.6529422327876091,0.1044076351182801,0.730853445827961,0.0924440858264764,1.3866612873971462,8.445801,0.84458005,0,0,2
1,0.690422,0.049062155,0.272162,0.099945836,0.06919589,0.12754858,0.124125145,0.01995602,0.020357938,0.0902159959999999,1.5629916,0.15629914,0.01995602,0.690422,0.1001722533255815,0.2003445066511631,0.1084983564913272,0.5424917824566364,0.1235088836401701,0.7410533018410206,0.1245465560683182,0.8718258924782276,0.0892597243189811,1.3388958647847176,8.192627,0.8192627,0,1,2
1,0.38934895,0.23101565,0.3099774,0.28235245,0.33264217,0.20957711,0.3946063,0.21058625,0.19420156,0.53340256,3.0877104,0.30877104,0.19420156,0.53340256,0.2540727630257606,0.5081455260515213,0.2088008135557174,1.0440040677785871,0.1959733267625173,1.1758399605751038,0.1783030512077467,1.2481213584542274,0.1773045673966407,2.659568510949612,8.861328,0.88613284,0,0,2
1,0.03208191,0.09168817,0.0209049839999999,0.03672706,0.028911056,0.035037067,0.018559713,0.028261801,0.006014922,0.022889793,0.32107645,0.0321076479999999,0.006014922,0.09168817,0.0371518954634666,0.0743037909269332,0.032714857161045,0.1635742858052253,0.0301394195606311,0.1808365173637867,0.0291794573089906,0.2042562011629343,0.0437584478408098,0.6563767176121473,8.730957,0.8730957,0,0,2
1,0.052145075,0.037058685,0.0292879079999999,0.033627026,0.036460657,0.0156694239999999,0.04109739,0.018564768,0.015506225,0.025657516,0.3050747,0.030507466,0.015506225,0.052145075,0.0316242193803191,0.0632484387606382,0.0288884535431861,0.1444422677159309,0.0317899857958157,0.1907399147748947,0.0371450813753264,0.260015569627285,0.0460282254964113,0.6904233824461699,8.72998,0.87299806,0,0,2
