target_present,Movement_leftEar,Movement_leftShoulder,Movement_neck,Movement_nose,Movement_rightEar,Movement_rightShoulder,Movement_spineLower,Movement_spineMid,Movement_spineUpper,Movement_tailBase,All_bp_movements_Animal_1_sum,All_bp_movements_Animal_1_mean,All_bp_movements_Animal_1_min,All_bp_movements_Animal_1_max,Mean_All_bp_movements_Animal_1_mean_2,Sum_All_bp_movements_Animal_1_mean_2,Mean_All_bp_movements_Animal_1_mean_5,Sum_All_bp_movements_Animal_1_mean_5,Mean_All_bp_movements_Animal_1_mean_6,Sum_All_bp_movements_Animal_1_mean_6,Mean_All_bp_movements_Animal_1_mean_7.5,Sum_All_bp_movements_Animal_1_mean_7.5,Mean_All_bp_movements_Animal_1_mean_15,Sum_All_bp_movements_Animal_1_mean_15,Sum_probabilities,Mean_probabilities,Low_prob_detections_0.1,Low_prob_detections_0.5,Low_prob_detections_0.75
1,0.011884363,0.036075287,0.02904508,0.0228730979999999,0.0145923239999999,0.0109786089999999,0.0301061239999999,0.04743119,0.22404365,0.33393314,0.76096284,0.07609628,0.0109786089999999,0.33393314,0.1067745834589004,0.2135491669178009,0.1740541279315948,0.8702706396579742,0.1937698423862457,1.1626190543174744,0.2035797664097377,1.425058364868164,0.3644258598486582,5.466387897729874,9.234375,0.9234375,0,0,0
1,0.36400414,0.2634373,0.16166578,0.21040958,0.104769714,0.12597169,0.17651291,0.08247511,0.10110878,0.027550602,1.6179056,0.16179056,0.027550602,0.36400414,0.1472308561205864,0.2944617122411728,0.128796499967575,0.6439824998378754,0.1302392308910688,0.7814353853464127,0.140781575015613,0.9854710251092912,0.2493050624926885,3.739575937390328,9.091309,0.9091309,0,0,0
1,0.3124398,0.3151016,0.30220807,0.34052876,0.23637001,0.27974492,0.29993683,0.49162325,0.0066315433999999,0.0012640943,2.585849,0.2585849,0.0012640943,0.49162325,0.3705162256956101,0.7410324513912201,0.6672877728939056,3.336438864469528,0.5713025902708372,3.427815541625023,0.4960641355386802,3.472448948770761,0.3431314565241337,5.146971847862004,8.285889,0.82858884,0,1,3
1,0.3884155999999999,0.38653168,0.31622416,0.3444650999999999,0.3010473,0.40332547,0.3680274,0.3400564,0.6090633000000001,0.23435013,3.6915066,0.3691507,0.23435013,0.6090633000000001,0.4679457545280457,0.9358915090560912,0.7485745072364807,3.742872536182404,0.7147802412509918,4.288681447505951,0.6901208247457232,4.830845773220061,0.537214744091034,8.058221161365509,9.62207,0.962207,0,0,0
1,0.015653322,0.046920698,0.060738247,0.028892322,0.06577277,0.077740476,0.04285976,0.047873475,0.021545373,0.023735767,0.4317322,0.04317322,0.015653322,0.077740476,0.0406620651483535,0.0813241302967071,0.0662673741579055,0.3313368707895279,0.0638467346628507,0.3830804079771042,0.0648675944123949,0.4540731608867645,0.0853323911627133,1.2799858674407003,8.76416,0.876416,0,0,1
1,0.52620053,0.47437444,0.5099355999999999,0.5006472,0.56232095,0.58303314,0.6131065,0.7426055,0.72812593,0.706617,5.9469666,0.59469664,0.47437444,0.7426055,0.5860815048217773,1.172163009643555,0.6556728720664978,3.278364360332489,0.6686513721942902,4.011908233165741,0.6673282640320914,4.67129784822464,0.6190531929334004,9.285797894001009,9.42334,0.942334,0,0,0
1,0.32461205,0.3518724,0.36107308,0.34964523,0.42892882,0.3163969,0.4670763,0.36972058,0.07919932,0.2404116,3.2889361000000004,0.32889363,0.07919932,0.4670763,0.3233738094568253,0.6467476189136505,0.2837910294532776,1.4189551472663882,0.2953921308120092,1.772352784872055,0.3107081481388637,2.174957036972046,0.2696769148111343,4.045153722167015,9.258789,0.9258789,0,0,1
1,0.30693674,0.18032147,0.28777438,0.23161444,0.3252203,0.2183461,0.23856817,0.1005599,0.1052330059999999,0.31236354,2.306938,0.23069379,0.1005599,0.3252203,0.2171269729733467,0.4342539459466934,0.1734380781650543,0.8671903908252716,0.1670233607292175,1.0021401643753052,0.1540337779692241,1.0782364457845688,0.2121192395687103,3.181788593530655,9.053711,0.90537107,0,0,0
1,0.5430156,0.5357085,0.5421019,0.54330075,0.5657249,0.5613024999999999,0.5771989000000001,0.76154697,0.7124254,0.5626594,5.9049845,0.59049845,0.5357085,0.76154697,0.6491296887397766,1.2982593774795532,0.6156615734100341,3.078307867050172,0.5877082347869873,3.526249408721924,0.5608779873166766,3.926145911216736,1.8916457196076708,28.37468579411507,9.29834,0.929834,0,0,0
1,0.51100135,0.5206997999999999,0.54573315,0.5161701,0.5312891,0.5423174,0.5830969,0.53360105,0.66343594,26.30468,31.252026,3.1252027,0.51100135,26.30468,3.213071703910828,6.426143407821655,1.686522912979126,8.43261456489563,1.4792966544628143,8.875779926776888,1.3187164366245272,9.231015056371689,0.7208018019795418,10.812027029693128,8.36795,0.83679503,1,1,1
1,0.3831991,0.2863628,0.3747397,0.36381778,0.33427855,0.2157004,0.4439789,0.21608418,0.041708436,0.009967531,2.6698372000000004,0.26698375,0.009967531,0.4439789,0.2827161252498627,0.5654322504997253,0.3512834012508392,1.7564170062541962,0.3499962836503982,2.099977701902389,0.3315743548529489,2.321020483970642,0.2424100110928217,3.6361501663923264,8.890625,0.8890625,0,0,2
1,0.1226666999999999,0.18522435,0.109800935,0.14043845,0.110260576,0.15854692,0.106304064,0.05477765,0.11550159,0.12477849,1.2282997,0.12282997,0.05477765,0.18522435,0.1998293697834015,0.399658739566803,0.2333890706300735,1.1669453531503675,0.2472782010833422,1.4836692065000534,0.2576847225427628,1.8037930577993395,0.4626082251469294,6.939123377203941,8.600586,0.8600585999999999,0,0,2
1,0.036589466,0.0518532129999999,0.08931414,0.06937447,0.119912274,0.09378115,0.1174118,0.15380087,0.05404431,0.041659907,0.82774156,0.08277416,0.036589466,0.15380087,0.0789414159953594,0.1578828319907188,0.0745498061180114,0.3727490305900574,0.0746768588821093,0.448061153292656,0.0832817299025399,0.5829721093177795,0.0946345975001653,1.4195189625024796,8.955078,0.8955078000000002,0,0,1
1,0.37778598,0.3805102,0.4254683,0.37642375,0.5044154000000001,0.34015664,0.46843895,0.5203061,0.39389083,0.0004694727999999,3.7878659,0.37878653,0.0004694727999999,0.5203061,0.4419518560171127,0.8839037120342255,1.0097753167152406,5.048876583576202,0.9218873580296836,5.5313241481781015,0.8151492859636035,5.706045001745224,0.5843429423868656,8.765144135802982,8.866821,0.88668215,0,1,1
1,0.5640166999999999,0.49265096,0.58347774,0.5495426999999999,0.5574228,0.51091313,0.55630326,0.5035761,0.4745385,0.4244787,5.2169204,0.52169204,0.4244787,0.58347774,0.4910490214824677,0.9820980429649352,0.4915129244327545,2.4575646221637726,0.4795771092176437,2.8774626553058624,0.4638019076415471,3.246613353490829,0.5774708966414134,8.6620634496212,9.729492,0.9729492,0,0,0
1,0.08092941,0.19500293,0.23195906,0.1260743,0.16555056,0.08908329,0.16333777,0.17583355,0.33563438,0.16408907,1.7274944,0.17274943,0.08092941,0.33563438,0.1190214194357395,0.238042838871479,0.0726794607937336,0.363397303968668,0.068705128505826,0.412230771034956,0.0716775863298348,0.5017431043088436,0.0932603438695271,1.3989051580429075,8.600586,0.8600585999999999,0,1,2
1,0.53651214,0.5350209,0.5549605,0.5450617,0.49367177,0.48527783,0.47954762,0.5145859,0.61015964,0.56271756,5.3175154,0.5317515,0.47954762,0.61015964,0.5132369846105576,1.0264739692211151,0.5254327237606049,2.6271636188030243,0.5251281807820002,3.1507690846920013,0.525727812732969,3.680094689130783,0.4515830139319102,6.773745208978652,9.479492,0.94794923,0,0,0
1,0.27615264,0.27252042,0.20792833,0.25040025,0.18240435,0.33197078,0.103539474,0.44411033,0.31036568,1.1541761,3.5335684,0.35335684,0.103539474,1.1541761,0.312921941280365,0.62584388256073,0.3797361969947815,1.898680984973908,0.3963937064011892,2.3783622384071346,0.3932493925094605,2.752745747566223,0.2743659491340319,4.115489237010478,9.132324,0.91323245,0,0,0
1,0.57209617,0.51561934,0.5646555,0.55793387,0.5548743,0.5025863,0.6042138000000001,0.42158386,0.58850855,0.53985626,5.421928,0.5421928,0.42158386,0.6042138000000001,0.5584544539451599,1.1169089078903198,1.6560235261917111,8.280117630958557,1.4700590670108795,8.820354402065277,1.73958443743842,12.17709106206894,1.6832629799842835,25.24894469976425,9.550293,0.9550293,0,0,0
1,0.5342458000000001,0.38706678,0.29100758,0.3821587999999999,0.34653106,0.36934248,0.2326026,0.43423316,0.30203554,0.4646116,3.7438352,0.3743835,0.2326026,0.5342458000000001,0.2941493317484856,0.5882986634969711,0.1910324588418007,0.9551622942090034,0.2023329995572567,1.2139979973435402,0.1910668941480773,1.337468259036541,0.2403529192010561,3.6052937880158415,8.764648,0.87646484,0,0,1
1,0.019696701,0.0126397689999999,0.0335302279999999,0.07204899,0.0069998335,0.027849777,0.01828419,0.0248011029999999,0.025259793,0.10108035,0.34219074,0.034219075,0.0069998335,0.10108035,0.0483272168785333,0.0966544337570667,0.0852504931390285,0.4262524656951428,0.089775741721193,0.538654450327158,0.0964909243796553,0.675436470657587,0.0950893558561802,1.4263403378427029,9.342773,0.93427736,0,0,0
1,0.10219844,0.0285857339999999,0.022228211,0.0340998729999999,0.071313925,0.08177801,0.10293157,0.041469373,0.046640202,0.028210131,0.55945545,0.055945545,0.022228211,0.10293157,0.0495593827217817,0.0991187654435634,0.0590305015444755,0.2951525077223778,0.0645470693707466,0.3872824162244797,0.0627179933445794,0.439025953412056,0.0795857205986976,1.1937858089804652,8.598145,0.85981447,0,0,1
1,0.23968355,0.1553666,0.25716475,0.15629801,0.19255419,0.107082054,0.20704268,0.24398328,0.38705632,0.38643906,2.3326705000000003,0.23326704,0.107082054,0.38705632,0.2682136744260788,0.5364273488521576,0.2142727047204971,1.0713635236024857,0.2002138197422028,1.2012829184532166,0.1908333556992667,1.335833489894867,0.1452374262114366,2.1785613931715493,9.417969,0.9417969,0,0,0
1,0.24956034,0.21236221,0.17527156,0.17464516,0.23099187,0.26744333,0.19155928,0.14407259,0.26038066,0.64628804,2.552575,0.2552574999999999,0.14407259,0.64628804,0.2576794475317001,0.5153588950634003,0.6309791803359985,3.1548959016799927,0.5458032066623371,3.274819239974022,0.4799576284629958,3.3597033992409706,0.2327559805475175,3.491339708212763,9.187988,0.9187988,0,0,1
1,0.24077071,0.25433713,0.2283227,0.25232285,0.2906732,0.22039858,0.36376488,0.37291247,0.4993329000000001,0.3087677,3.031603,0.3031603,0.22039858,0.4993329000000001,0.2423402443528175,0.4846804887056351,0.1936031758785248,0.968015879392624,0.1837610751390457,1.1025664508342743,0.1796162554195949,1.2573137879371643,0.1329418547451496,1.994127821177244,9.558594,0.95585936,0,0,0
